Location,Distance_to_CBD,Bedrooms,Bathrooms,Floor_Size,Price,Amenities
Kilimani,4,2,2,120,93135,
Ruaka,19,2,2,135,41526,"gym, garbage collection, parking, swimming pool, electric fence"
Ruaka,19,1,1,75,16111,"gym, garbage collection, electric fence, garden"
Ruiru,25.3,4,1,172,63713,"swimming pool, electric fence, CCTV, garbage collection, gym, parking"
Ruiru,25.3,4,1,218,66974,garden
Juja,32.8,4,1,225,59433,"swimming pool, electric fence, gym, garden, garbage collection, CCTV"
Kileleshwa,5.4,3,1,143,117585,gym
Kileleshwa,5.4,3,3,204,114745,"electric fence, gym, garden, garbage collection, swimming pool, CCTV"
Muthaiga,7,2,2,93,350253,"parking, swimming pool, electric fence, gym, garbage collection"
Utawala,22.4,2,1,175,25506,"garbage collection, gym, swimming pool, electric fence, garden, CCTV, parking"
Muthaiga,7,4,1,267,403741,
Westlands,3.2,4,3,252,231315,"parking, garbage collection"
Muthaiga,7,1,1,53,163182,
Muthaiga,7,2,1,92,269692,"swimming pool, garden, gym, parking, CCTV, garbage collection, electric fence"
Kilimani,4,4,3,185,236294,"garden, CCTV, electric fence, parking, gym, swimming pool"
Lavington,5.9,1,1,57,84720,"electric fence, CCTV, garbage collection, garden, swimming pool"
Utawala,22.4,2,1,151,19927,"garden, garbage collection, electric fence"
Kileleshwa,5.4,3,2,146,92626,"electric fence, swimming pool"
Ruaka,19,3,2,216,45916,garden
Lavington,5.9,4,1,191,334645,"gym, garden, parking, electric fence, swimming pool"
Lavington,5.9,3,3,155,114934,"electric fence, parking, CCTV, garbage collection, gym"
Juja,32.8,4,4,224,56486,gym
Ruiru,25.3,1,1,52,12244,"garden, gym"
Muthaiga,7,4,4,243,408755,"gym, garden, CCTV"
Westlands,3.2,2,1,171,130962,"swimming pool, CCTV, gym, garden"
Syokimau,24,1,1,57,14974,"swimming pool, garden, parking, gym"
Utawala,22.4,4,1,192,47306,parking
Utawala,22.4,3,1,143,32799,gym
Muthaiga,7,4,3,292,424471,"swimming pool, gym, garbage collection, CCTV, parking"
Kileleshwa,5.4,2,2,107,97397,
Kilimani,4,3,3,217,120574,"garden, garbage collection, electric fence, gym, CCTV, parking"
Kilimani,4,1,1,63,75214,"CCTV, gym, garden, electric fence, parking, garbage collection"
Juja,32.8,4,1,210,49209,"garbage collection, electric fence"
Kileleshwa,5.4,1,1,79,55822,"CCTV, gym, garbage collection, parking"
Juja,32.8,3,2,226,55000,"CCTV, gym, garden, swimming pool, electric fence"
Ruiru,25.3,1,1,77,16495,"gym, garden, swimming pool, parking, CCTV"
Syokimau,24,4,1,199,69637,garden
Muthaiga,7,3,3,172,355093,
Lavington,5.9,1,1,63,100000,"garden, garbage collection, parking, CCTV"
Kileleshwa,5.4,4,4,248,152064,"electric fence, garbage collection"
Ruaka,19,2,1,161,30919,"swimming pool, electric fence, garbage collection"
Ruiru,25.3,2,1,158,26630,
Utawala,22.4,4,1,296,55000,"electric fence, CCTV, garbage collection, gym, parking"
Syokimau,24,4,2,172,74553,
Ruiru,25.3,2,1,99,29433,"electric fence, garbage collection, swimming pool"
Kilimani,4,1,1,69,65248,"gym, CCTV"
Kileleshwa,5.4,4,3,264,213850,"garden, CCTV, garbage collection, parking, swimming pool"
Ruaka,19,1,1,52,18060,
Utawala,22.4,4,4,226,55000,"swimming pool, parking, garden, gym, electric fence, CCTV"
Westlands,3.2,2,2,152,152556,"electric fence, parking"
Juja,32.8,3,2,177,43777,"swimming pool, parking, gym, garbage collection, CCTV"
Juja,32.8,1,1,58,14343,"gym, parking, garbage collection, CCTV, electric fence, garden"
Ruaka,19,2,2,172,32610,"electric fence, parking, garden, swimming pool"
Juja,32.8,1,1,79,14105,"garden, swimming pool, gym, CCTV"
Juja,32.8,2,2,95,22779,CCTV
Muthaiga,7,3,1,161,303672,"parking, garden, CCTV, garbage collection"
Syokimau,24,4,3,267,61284,gym
Lavington,5.9,1,1,50,100000,"electric fence, parking, swimming pool, CCTV, garden"
Utawala,22.4,4,2,264,50348,garbage collection
Westlands,3.2,2,2,176,159189,
Muthaiga,7,3,3,213,342405,
Ruaka,19,1,1,76,18896,"gym, swimming pool"
Juja,32.8,2,1,132,29367,"garbage collection, electric fence, CCTV"
Lavington,5.9,4,1,294,289777,"gym, electric fence, parking, garbage collection, swimming pool, garden"
Muthaiga,7,2,1,95,290245,"swimming pool, gym, garden, parking, CCTV, garbage collection"
Kilimani,4,1,1,57,76955,"gym, electric fence, parking, CCTV, garbage collection"
Ruaka,19,2,2,164,40378,"swimming pool, electric fence, gym, CCTV, parking, garden, garbage collection"
Westlands,3.2,3,3,184,201883,"garden, garbage collection, CCTV, swimming pool, parking"
Muthaiga,7,1,1,53,232776,"parking, garden, electric fence, garbage collection, swimming pool"
Syokimau,24,4,2,264,87780,"parking, gym"
Ruaka,19,1,1,68,23307,"garden, garbage collection, CCTV, electric fence, parking"
Utawala,22.4,1,1,66,9956,garden
Juja,32.8,1,1,65,14107,"garbage collection, CCTV, swimming pool"
Ruaka,19,1,1,68,19978,"electric fence, parking, gym, CCTV"
Utawala,22.4,4,3,264,47556,"garbage collection, gym, swimming pool"
Ruiru,25.3,4,3,216,60388,"gym, electric fence, parking, garbage collection"
Syokimau,24,3,1,182,36978,
Ruaka,19,1,1,53,16479,CCTV
Westlands,3.2,3,3,150,153614,"parking, CCTV, garden, garbage collection, electric fence"
Westlands,3.2,4,3,292,275327,"garden, swimming pool, parking, gym, CCTV"
Syokimau,24,1,1,77,17558,"electric fence, CCTV, garden, swimming pool, gym, garbage collection, parking"
Westlands,3.2,2,2,114,180057,"electric fence, gym, swimming pool, parking, garbage collection, garden, CCTV"
Ruiru,25.3,4,2,189,50195,
Lavington,5.9,1,1,69,67284,garbage collection
Muthaiga,7,4,2,161,339104,
Syokimau,24,2,1,142,30464,"parking, CCTV, garden, gym"
Westlands,3.2,2,1,124,147931,"swimming pool, electric fence, CCTV, parking, gym"
Kileleshwa,5.4,4,1,160,207570,"swimming pool, CCTV, gym, garbage collection, garden, parking"
Ruaka,19,3,1,156,49739,"garden, swimming pool, electric fence, garbage collection"
Kilimani,4,2,1,173,95981,"garbage collection, garden, electric fence, parking"
Ruaka,19,3,1,151,54321,"parking, garden, swimming pool, garbage collection, gym, electric fence"
Kileleshwa,5.4,2,2,100,97343,"garden, electric fence, parking"
Syokimau,24,2,2,113,32362,"gym, CCTV, parking, garbage collection, electric fence"
Kilimani,4,1,1,80,56556,"garden, gym"
Kileleshwa,5.4,3,2,171,91594,"gym, electric fence"
Westlands,3.2,1,1,62,123289,"parking, CCTV, garbage collection, electric fence, garden, swimming pool"
Utawala,22.4,2,1,90,20057,"garden, CCTV, electric fence, swimming pool, garbage collection"
Westlands,3.2,1,1,52,132586,"parking, garbage collection, gym, swimming pool, garden, CCTV, electric fence"
Syokimau,24,1,1,56,15794,"CCTV, swimming pool, parking"
Ruiru,25.3,4,4,243,55271,"gym, swimming pool, garbage collection, garden, parking"
Syokimau,24,2,1,172,34573,CCTV
Juja,32.8,4,1,210,70000,"CCTV, electric fence"
Ruiru,25.3,2,2,116,27623,"gym, garden"
Syokimau,24,3,2,151,43245,"garden, electric fence, CCTV, parking, garbage collection, gym"
Juja,32.8,3,2,178,51865,"garden, CCTV"
Ruaka,19,4,4,259,45216,
Juja,32.8,3,3,194,46629,"swimming pool, CCTV, garbage collection"
Kilimani,4,1,1,73,66737,"swimming pool, gym, electric fence, garden"
Utawala,22.4,2,2,157,26830,"electric fence, garden, gym, parking, CCTV, swimming pool, garbage collection"
Muthaiga,7,1,1,70,176911,"gym, swimming pool, garden, parking, CCTV, garbage collection"
Kilimani,4,4,4,178,211346,"electric fence, swimming pool, gym, garden"
Muthaiga,7,1,1,54,263025,"parking, garden, electric fence, CCTV, garbage collection, swimming pool, gym"
Ruiru,25.3,1,1,64,10834,
Kilimani,4,3,1,141,102613,
Ruiru,25.3,2,1,95,28116,"CCTV, electric fence, parking, garbage collection, gym"
Juja,32.8,2,2,131,35000,"swimming pool, CCTV, garden, electric fence, gym, parking, garbage collection"
Muthaiga,7,1,1,52,250471,"CCTV, garbage collection, parking, swimming pool, electric fence, garden, gym"
Ruaka,19,1,1,67,15497,"garbage collection, gym"
Ruaka,19,2,1,123,29595,"garden, parking"
Westlands,3.2,4,3,235,280761,"gym, garbage collection, garden, electric fence, parking, swimming pool"
Kileleshwa,5.4,3,3,218,120317,"parking, garden, CCTV, garbage collection"
Muthaiga,7,3,2,207,314598,"garbage collection, swimming pool"
Muthaiga,7,4,4,256,460417,"CCTV, parking, electric fence"
Kilimani,4,4,3,239,175966,"electric fence, garden, garbage collection, parking"
Kileleshwa,5.4,4,4,280,191264,"swimming pool, garbage collection, garden"
Westlands,3.2,3,2,195,197473,"garbage collection, gym, CCTV, electric fence, swimming pool"
Ruiru,25.3,4,3,170,52396,"swimming pool, CCTV, gym"
Kilimani,4,2,2,106,94920,"CCTV, swimming pool"
Syokimau,24,4,2,274,77056,"swimming pool, garbage collection, gym"
Kilimani,4,4,3,212,217496,"garden, gym, garbage collection, parking, electric fence, swimming pool"
Kilimani,4,1,1,58,80346,"CCTV, garden, garbage collection, swimming pool, electric fence, parking"
Lavington,5.9,1,1,51,88545,"garden, parking, CCTV"
Ruiru,25.3,2,1,151,20187,parking
Ruaka,19,2,2,127,41428,"swimming pool, gym, parking, electric fence, garbage collection, CCTV, garden"
Lavington,5.9,2,1,147,117316,"electric fence, CCTV, parking, swimming pool, gym"
Westlands,3.2,2,1,180,130589,"CCTV, electric fence, garbage collection"
Utawala,22.4,4,4,170,36358,
Kileleshwa,5.4,1,1,51,73255,"garden, CCTV"
Juja,32.8,2,2,139,27499,"garbage collection, gym, parking"
Ruaka,19,1,1,52,18247,"garden, parking"
Ruiru,25.3,2,2,115,28369,"swimming pool, CCTV, parking, garden"
Ruaka,19,3,1,197,55056,"electric fence, parking, gym, garbage collection, swimming pool, CCTV"
Utawala,22.4,1,1,69,17000,"garbage collection, parking, garden, electric fence, CCTV"
Juja,32.8,2,1,137,25343,"parking, garbage collection, electric fence"
Syokimau,24,2,2,117,42399,"electric fence, parking, garbage collection, CCTV, gym, swimming pool, garden"
Ruiru,25.3,1,1,69,15543,"swimming pool, garbage collection"
Kilimani,4,2,2,150,115159,"swimming pool, CCTV, garden, electric fence, garbage collection"
Lavington,5.9,3,3,203,99755,"CCTV, electric fence, swimming pool"
Utawala,22.4,1,1,77,15693,"parking, swimming pool, garbage collection, electric fence"
Kileleshwa,5.4,3,1,212,94909,"garbage collection, electric fence, CCTV"
Kilimani,4,4,3,288,172912,"electric fence, parking, garbage collection"
Lavington,5.9,3,1,216,101611,"garden, CCTV, gym, parking, electric fence"
Muthaiga,7,2,1,106,273431,
Syokimau,24,1,1,54,18580,"electric fence, CCTV, gym, swimming pool, parking, garbage collection, garden"
Kilimani,4,3,2,180,94609,"gym, garbage collection, garden"
Kileleshwa,5.4,3,3,206,113175,
Ruaka,19,2,1,120,36199,"garden, CCTV, swimming pool, electric fence, parking, garbage collection, gym"
Syokimau,24,4,4,187,79344,"CCTV, electric fence, swimming pool, gym, garbage collection, garden"
Ruiru,25.3,2,2,101,33254,"garbage collection, gym, CCTV, swimming pool, garden"
Kileleshwa,5.4,3,1,163,121357,parking
Lavington,5.9,1,1,71,82555,
Lavington,5.9,1,1,72,99834,"parking, electric fence, gym, CCTV, garbage collection"
Lavington,5.9,3,1,167,126917,"swimming pool, CCTV, gym"
Westlands,3.2,3,3,208,159871,"swimming pool, gym, electric fence, garden, garbage collection, parking, CCTV"
Ruaka,19,2,1,162,37861,"gym, CCTV, electric fence"
Utawala,22.4,4,4,268,42819,
Utawala,22.4,2,2,101,22306,"swimming pool, gym, electric fence, garden, parking"
Kilimani,4,1,1,62,69940,"CCTV, gym, swimming pool"
Lavington,5.9,4,2,189,259165,
Kileleshwa,5.4,3,3,169,115027,"electric fence, garbage collection, garden, swimming pool"
Ruaka,19,2,2,108,45000,"gym, garbage collection, electric fence, swimming pool, parking, CCTV, garden"
Kileleshwa,5.4,4,1,225,224801,"parking, garbage collection, electric fence, swimming pool"
Muthaiga,7,1,1,79,194335,"CCTV, garbage collection, swimming pool, electric fence, gym, garden, parking"
Syokimau,24,3,2,202,53870,"CCTV, parking"
Muthaiga,7,2,1,93,259975,"gym, garden, garbage collection, electric fence, parking"
Westlands,3.2,4,2,257,292931,"garbage collection, garden, swimming pool, gym, electric fence, parking, CCTV"
Ruiru,25.3,3,1,204,60000,"electric fence, swimming pool, garden, gym, garbage collection, parking, CCTV"
Kilimani,4,3,3,172,128112,"electric fence, garbage collection, gym, CCTV, garden, parking, swimming pool"
Westlands,3.2,3,2,142,139836,parking
Kilimani,4,2,1,134,83764,"electric fence, garbage collection, swimming pool, parking, CCTV"
Utawala,22.4,4,3,215,53622,"gym, parking, swimming pool, CCTV, garbage collection"
Juja,32.8,1,1,55,11901,gym
Syokimau,24,1,1,59,15114,swimming pool
Juja,32.8,2,2,130,29776,garbage collection
Syokimau,24,4,2,160,91956,"swimming pool, CCTV, garbage collection, garden, electric fence"
Ruiru,25.3,2,2,94,34600,"gym, garden, garbage collection, CCTV, electric fence, swimming pool, parking"
Kileleshwa,5.4,2,1,155,96816,"garden, gym, electric fence"
Juja,32.8,4,4,171,44292,
Utawala,22.4,2,2,93,23389,"parking, garden, CCTV, swimming pool, gym, electric fence"
Muthaiga,7,2,1,133,308223,"parking, swimming pool"
Juja,32.8,2,1,144,35000,"gym, garbage collection, CCTV, parking"
Kilimani,4,2,2,123,99156,"garbage collection, parking, CCTV, swimming pool, electric fence, garden, gym"
Lavington,5.9,2,2,144,75508,garden
Utawala,22.4,3,3,223,35000,
Muthaiga,7,3,3,162,340673,"garden, parking"
Juja,32.8,1,1,58,14119,"garden, gym, garbage collection, swimming pool, CCTV, parking, electric fence"
Lavington,5.9,3,2,171,104526,CCTV
Ruaka,19,4,3,263,70000,"parking, garden, gym, swimming pool, electric fence, CCTV, garbage collection"
Syokimau,24,1,1,51,16202,
Muthaiga,7,2,2,168,207797,gym
Ruaka,19,4,2,197,67429,"parking, CCTV"
Kilimani,4,4,4,207,217149,"parking, electric fence, CCTV, swimming pool, garbage collection"
Kilimani,4,2,1,173,92552,
Juja,32.8,2,1,128,26292,"CCTV, gym, garbage collection"
Kileleshwa,5.4,2,2,130,104056,"parking, electric fence, garden, swimming pool"
Syokimau,24,2,2,130,27694,garden
Ruaka,19,1,1,65,20783,"garden, garbage collection"
Syokimau,24,1,1,71,12000,
Kilimani,4,1,1,70,72932,"CCTV, swimming pool, garbage collection, electric fence"
Syokimau,24,2,1,151,32693,"garden, parking, gym, garbage collection, CCTV, electric fence"
Westlands,3.2,1,1,75,89343,garden
Ruaka,19,4,2,207,65433,"garden, parking, electric fence, CCTV, swimming pool, garbage collection"
Kilimani,4,2,2,168,72499,"parking, garbage collection"
Muthaiga,7,2,2,164,263598,
Utawala,22.4,3,1,142,35000,"parking, electric fence, swimming pool, CCTV, garbage collection, garden, gym"
Ruiru,25.3,1,1,75,10868,
Juja,32.8,1,1,71,15000,"garbage collection, CCTV, electric fence, parking, garden, gym, swimming pool"
Ruiru,25.3,3,3,208,40401,"swimming pool, garden"
Kileleshwa,5.4,3,1,215,127163,"swimming pool, parking, CCTV, electric fence, gym, garden, garbage collection"
Utawala,22.4,2,1,156,25493,"garden, parking, electric fence, swimming pool, garbage collection"
Muthaiga,7,1,1,74,167607,"CCTV, electric fence"
Muthaiga,7,4,2,203,494417,"garden, swimming pool, garbage collection, electric fence, CCTV, parking"
Juja,32.8,1,1,72,11941,"CCTV, swimming pool, gym"
Lavington,5.9,1,1,70,82736,"gym, garden, parking, CCTV"
Muthaiga,7,2,1,98,306917,"swimming pool, CCTV, garbage collection, electric fence"
Westlands,3.2,4,2,176,316918,"gym, garbage collection, swimming pool, garden, CCTV, electric fence, parking"
Utawala,22.4,1,1,53,17000,"garbage collection, swimming pool, electric fence, garden, parking, gym, CCTV"
Syokimau,24,1,1,68,20217,"gym, electric fence, CCTV, garden, swimming pool, garbage collection"
Westlands,3.2,2,1,124,160864,"CCTV, garbage collection, swimming pool"
Lavington,5.9,3,1,153,120287,"CCTV, gym, garbage collection, garden, electric fence"
Ruaka,19,3,3,149,55621,
Ruiru,25.3,1,1,69,15844,"garden, gym, electric fence, parking, swimming pool"
Utawala,22.4,2,1,133,26928,"CCTV, electric fence, parking, gym, swimming pool, garden"
Muthaiga,7,3,2,216,344342,"gym, garbage collection, electric fence, garden"
Kileleshwa,5.4,3,3,193,95389,
Syokimau,24,2,1,107,24725,"electric fence, garbage collection"
Utawala,22.4,1,1,55,12878,"electric fence, CCTV, garbage collection, gym"
Ruiru,25.3,2,1,173,29064,"swimming pool, electric fence, parking, garden"
Kilimani,4,3,1,215,109410,"garbage collection, CCTV, parking, swimming pool, gym, electric fence, garden"
Westlands,3.2,2,1,155,135114,garden
Ruiru,25.3,2,2,137,22492,"CCTV, swimming pool"
Muthaiga,7,3,1,171,407798,"electric fence, garbage collection, parking"
Lavington,5.9,3,3,183,98775,
Juja,32.8,2,1,177,35000,"parking, gym, swimming pool, electric fence, garbage collection"
Muthaiga,7,2,1,101,312113,"CCTV, parking, gym, garden"
Ruaka,19,3,2,194,54576,"gym, CCTV, garbage collection, parking"
Juja,32.8,4,1,224,70000,"CCTV, electric fence, parking, garbage collection, gym, garden"
Ruaka,19,2,1,111,35918,"electric fence, parking, garden, CCTV"
Syokimau,24,4,4,234,78670,garden
Muthaiga,7,1,1,54,160171,"electric fence, swimming pool"
Kilimani,4,3,2,172,97565,"gym, swimming pool, parking, garden, electric fence"
Ruiru,25.3,1,1,71,15292,CCTV
Kilimani,4,4,1,248,183201,"CCTV, garbage collection"
Syokimau,24,3,1,164,47842,"CCTV, gym, electric fence, garden, swimming pool, parking, garbage collection"
Ruaka,19,2,2,150,45000,"gym, CCTV, parking, garden, garbage collection, electric fence"
Lavington,5.9,4,3,170,305988,"garbage collection, parking"
Kileleshwa,5.4,3,1,173,127188,"electric fence, gym, garden, swimming pool, parking, garbage collection, CCTV"
Westlands,3.2,3,2,205,135138,
Ruiru,25.3,1,1,50,13140,
Kilimani,4,2,2,115,126592,"garbage collection, garden, gym, CCTV, electric fence, swimming pool, parking"
Ruaka,19,3,3,183,60000,"garden, swimming pool, electric fence, garbage collection, parking, gym"
Ruiru,25.3,1,1,54,18208,"parking, swimming pool, CCTV, electric fence, garden"
Lavington,5.9,4,1,205,323568,"swimming pool, garbage collection, gym, electric fence, parking"
Ruiru,25.3,4,1,166,44319,
Utawala,22.4,2,2,145,21564,"parking, garbage collection, CCTV, swimming pool, gym, garden, electric fence"
Kileleshwa,5.4,4,4,195,227678,"garden, swimming pool, parking, gym"
Ruaka,19,4,2,195,46217,
Lavington,5.9,3,3,212,101252,"electric fence, parking, garbage collection, garden, swimming pool"
Ruiru,25.3,4,1,264,59471,"swimming pool, gym, garden"
Lavington,5.9,1,1,52,77434,
Kileleshwa,5.4,2,2,151,89958,"parking, CCTV, garbage collection"
Juja,32.8,4,4,249,70000,"gym, CCTV, garbage collection, garden, swimming pool, electric fence, parking"
Juja,32.8,2,2,117,35000,"gym, CCTV, swimming pool, electric fence, parking, garbage collection, garden"
Syokimau,24,3,1,180,39451,"swimming pool, parking, gym"
Lavington,5.9,2,2,123,93432,
Ruiru,25.3,4,4,178,55023,"electric fence, swimming pool, parking, CCTV"
Syokimau,24,1,1,59,18190,"swimming pool, gym"
Utawala,22.4,4,2,263,55000,"swimming pool, garbage collection, gym, electric fence, parking, CCTV, garden"
Utawala,22.4,4,3,237,55000,"garden, CCTV, parking, swimming pool, garbage collection, electric fence"
Lavington,5.9,1,1,60,78733,gym
Syokimau,24,1,1,68,16714,"CCTV, electric fence, garden, parking, swimming pool"
Ruaka,19,4,2,222,58152,"swimming pool, gym, garbage collection"
Juja,32.8,1,1,65,10816,"garbage collection, electric fence, parking"
Juja,32.8,4,3,255,58768,"parking, gym, garden"
Lavington,5.9,4,2,232,289818,parking
Kileleshwa,5.4,1,1,64,54291,"garbage collection, swimming pool"
Juja,32.8,1,1,72,13222,"parking, swimming pool, CCTV, garbage collection, gym"
Muthaiga,7,1,1,75,223612,"electric fence, CCTV, gym, garbage collection, parking, swimming pool, garden"
Ruaka,19,4,3,208,70000,"garden, swimming pool, CCTV, parking, gym"
Juja,32.8,3,3,203,43034,"swimming pool, CCTV, gym, parking, garbage collection"
Utawala,22.4,4,2,282,55000,"garden, gym, parking, CCTV, swimming pool"
Lavington,5.9,3,3,205,92548,"electric fence, garden, garbage collection, gym"
Ruaka,19,1,1,64,17758,"swimming pool, gym, CCTV, garden"
Kileleshwa,5.4,4,1,238,141168,
Utawala,22.4,1,1,71,14361,"swimming pool, garbage collection, CCTV, parking, garden, electric fence"
Muthaiga,7,4,1,259,496452,"garbage collection, CCTV, parking"
Syokimau,24,3,2,227,59407,"gym, electric fence, garden, swimming pool, parking, garbage collection"
Muthaiga,7,4,3,232,389503,"garbage collection, gym, CCTV, swimming pool, parking, garden"
Lavington,5.9,4,4,161,277139,"parking, gym, electric fence, CCTV"
Westlands,3.2,4,2,236,282630,"garden, parking, electric fence, gym"
Juja,32.8,1,1,58,15000,"garbage collection, CCTV, parking, swimming pool, gym"
Syokimau,24,4,4,181,78884,"garbage collection, gym, CCTV"
Ruaka,19,4,2,276,62418,"gym, electric fence"
Lavington,5.9,4,2,212,307156,"gym, garden, swimming pool, electric fence, CCTV, parking, garbage collection"
Westlands,3.2,3,1,222,109352,
Ruiru,25.3,3,2,182,54252,CCTV
Syokimau,24,1,1,58,18119,"garbage collection, gym, parking, garden"
Kilimani,4,3,2,185,108855,"garbage collection, garden, swimming pool, parking"
Juja,32.8,2,1,111,28328,parking
Utawala,22.4,2,2,116,23196,"electric fence, parking, garbage collection, CCTV"
Juja,32.8,4,1,262,52644,electric fence
Lavington,5.9,1,1,53,97689,garbage collection
Kileleshwa,5.4,4,2,258,188640,"CCTV, garbage collection, electric fence, gym"
Muthaiga,7,4,2,162,372538,"CCTV, swimming pool, parking, garbage collection, electric fence"
Ruiru,25.3,3,2,196,44648,"gym, parking, CCTV, swimming pool"
Kileleshwa,5.4,4,2,293,197184,
Syokimau,24,1,1,78,20761,"garbage collection, garden, electric fence, swimming pool, parking, CCTV"
Utawala,22.4,3,1,196,35000,garden
Utawala,22.4,3,1,180,35000,"CCTV, garden, swimming pool, parking, electric fence"
Ruaka,19,3,1,205,53523,"parking, gym, electric fence, garbage collection, CCTV"
Juja,32.8,3,3,210,45798,"parking, electric fence, garbage collection, gym, swimming pool, CCTV"
Juja,32.8,3,3,147,36551,"gym, CCTV"
Muthaiga,7,1,1,78,164263,"garden, garbage collection, parking, CCTV"
Syokimau,24,2,1,111,33728,"parking, CCTV"
Kilimani,4,1,1,60,60971,parking
Kilimani,4,4,3,231,261188,"electric fence, garden, parking, swimming pool, CCTV, garbage collection, gym"
Ruiru,25.3,2,1,101,32278,"gym, garbage collection, electric fence, swimming pool, parking, garden"
Muthaiga,7,3,1,146,342760,
Kileleshwa,5.4,2,1,119,92878,"gym, garden, garbage collection"
Muthaiga,7,1,1,63,151026,"gym, garden"
Ruaka,19,4,4,190,50198,"garbage collection, swimming pool"
Ruiru,25.3,3,2,221,57830,"garbage collection, CCTV, electric fence"
Syokimau,24,1,1,63,16175,"swimming pool, garbage collection, parking"
Westlands,3.2,3,3,161,156321,"swimming pool, CCTV, garden, parking"
Juja,32.8,4,2,170,51654,"garbage collection, swimming pool, CCTV"
Kileleshwa,5.4,3,1,201,108839,"garden, electric fence, CCTV, parking, swimming pool, garbage collection"
Ruiru,25.3,3,2,195,36503,
Muthaiga,7,1,1,68,233761,"parking, CCTV, garbage collection, swimming pool, gym, electric fence"
Utawala,22.4,2,2,146,23583,"gym, garbage collection, parking, garden, electric fence, swimming pool"
Kilimani,4,3,3,160,93760,
Westlands,3.2,2,1,179,174445,"gym, electric fence, swimming pool, CCTV, parking"
Juja,32.8,4,1,165,68720,"gym, parking, swimming pool"
Ruaka,19,1,1,56,19387,"garden, electric fence, garbage collection, gym"
Westlands,3.2,3,3,152,137998,garbage collection
Lavington,5.9,1,1,72,78305,"parking, garbage collection"
Ruaka,19,3,2,184,57890,"electric fence, gym, garbage collection, CCTV, swimming pool, garden, parking"
Ruaka,19,2,2,112,43562,"garden, garbage collection, parking, electric fence, swimming pool"
Muthaiga,7,2,1,131,323464,"garbage collection, gym, swimming pool"
Ruaka,19,1,1,52,19859,"parking, CCTV"
Ruaka,19,2,2,168,26496,garden
Ruiru,25.3,2,1,151,25255,
Lavington,5.9,4,3,164,237625,parking
Kilimani,4,4,1,216,222572,"gym, garden, garbage collection, CCTV, electric fence"
Lavington,5.9,1,1,66,64119,
Utawala,22.4,1,1,69,13833,"garbage collection, parking, electric fence, swimming pool"
Westlands,3.2,4,3,207,241573,"gym, parking, CCTV, garbage collection, swimming pool, garden"
Westlands,3.2,2,1,137,164154,swimming pool
Lavington,5.9,2,1,166,120382,"CCTV, swimming pool, garbage collection, gym, parking, garden"
Westlands,3.2,2,2,136,174149,"garbage collection, CCTV, garden"
Kilimani,4,4,1,268,219887,"electric fence, garden, CCTV, garbage collection, swimming pool, parking"
Juja,32.8,4,4,262,61309,"electric fence, gym, parking, CCTV, swimming pool"
Westlands,3.2,1,1,77,118358,"swimming pool, garbage collection, CCTV, gym, electric fence, parking, garden"
Juja,32.8,3,1,160,55000,"garden, parking, electric fence, gym, CCTV, garbage collection, swimming pool"
Ruaka,19,3,1,145,48176,"gym, garden, parking, swimming pool"
Lavington,5.9,4,3,295,271023,
Syokimau,24,1,1,56,19810,"swimming pool, electric fence, parking, garden, CCTV, garbage collection"
Lavington,5.9,1,1,51,100000,"CCTV, gym, garbage collection, garden, swimming pool, parking"
Westlands,3.2,4,2,201,189514,
Ruaka,19,3,3,225,60000,"garden, parking, CCTV, electric fence"
Kilimani,4,4,1,168,173675,
Westlands,3.2,4,1,293,249921,"garden, swimming pool"
Ruaka,19,2,1,180,28542,CCTV
Ruiru,25.3,1,1,76,13847,"CCTV, electric fence, garden, parking, garbage collection, swimming pool"
Westlands,3.2,2,1,163,146174,"swimming pool, CCTV"
Kileleshwa,5.4,1,1,55,70552,"swimming pool, CCTV, parking, electric fence, gym, garden, garbage collection"
Kilimani,4,2,2,114,88120,
Ruiru,25.3,1,1,66,17606,"swimming pool, garden, parking"
Kileleshwa,5.4,1,1,63,57585,
Juja,32.8,1,1,58,13717,"electric fence, swimming pool, CCTV, garden"
Westlands,3.2,2,1,157,167470,"garbage collection, gym, electric fence, swimming pool, parking, garden"
Westlands,3.2,3,2,200,151368,"gym, parking, electric fence, garbage collection, swimming pool"
Utawala,22.4,3,3,152,35000,"swimming pool, parking, CCTV, electric fence, garbage collection"
Juja,32.8,3,2,146,43151,"gym, garbage collection, electric fence"
Kilimani,4,3,3,186,113381,garden
Lavington,5.9,3,1,217,96472,"swimming pool, garbage collection"
Muthaiga,7,3,1,147,440186,"gym, garbage collection, electric fence, parking, CCTV, swimming pool"
Westlands,3.2,2,2,92,179408,"electric fence, CCTV, parking, gym, swimming pool, garbage collection, garden"
Kilimani,4,4,4,166,220232,"garbage collection, gym, electric fence, parking, CCTV, swimming pool, garden"
Lavington,5.9,3,1,221,123358,"CCTV, gym, electric fence"
Syokimau,24,3,3,151,42805,
Ruaka,19,3,1,197,44907,swimming pool
Westlands,3.2,4,4,256,283326,"parking, swimming pool, electric fence, garbage collection"
Kilimani,4,4,2,201,225397,"swimming pool, parking, garbage collection, gym, garden"
Muthaiga,7,2,2,142,364512,"electric fence, garden, gym, parking, garbage collection, CCTV, swimming pool"
Kileleshwa,5.4,3,1,168,107265,"garbage collection, swimming pool, garden, electric fence, parking, gym, CCTV"
